subject,body,label
Assistance needed for overtime policies,"Hello, I’d like to request assistance with overtime policies. Let me know if there’s anything else you need from me to proceed. Best regards, Sonya Campbell",HR
Urgent attention needed for accounts receivable,"Hello Finance, This is a time-sensitive matter related to accounts receivable. Please prioritize this and let me know if you require additional information. Thank you, Derek Vang",Finance
Follow-up on customer complaint complaint,"Hello, I’m following up on the complaint about customer complaint. Has there been any progress on resolving this? Thank you, Charles Ramirez",Customer Support
Assistance required with cash flow statements,"Dear Team, I need help with cash flow statements. Please let me know the steps to resolve this issue. Thanks, Madison Berry",Finance
Assistance required with corporate credit cards,"Dear Team, I need help with corporate credit cards. Please let me know the steps to resolve this issue. Thanks, Lori Phillips",Finance
Customer feedback on product replacements,"Hello Team, We received feedback regarding product replacements. Please review it and let me know if any action is required. Best regards, Jennifer Davis",Customer Support
Follow-up on investment planning approval,"Hi Team, I’m following up on the approval status for investment planning. Please let me know if it’s been processed or if further steps are required. Best, Sarah Sanders",Finance
Follow-up on device encryption access request,"Hi Support, I wanted to check on the status of my request for access to device encryption. Let me know if further details are needed. Best, John Warren",IT Support
Approval needed for salary disbursements,"Hello, Could you review and approve the salary disbursements for this month? Let me know if there’s anything I need to address. Best regards, Amanda Arellano",Finance
Follow-up on leave policy request,"Hi, I wanted to check on the status of my request regarding leave policy. Please let me know if further information is needed. Thanks, Colleen Edwards",HR
Assistance needed for performance reviews,"Hello, I’d like to request assistance with performance reviews. Let me know if there’s anything else you need from me to proceed. Best regards, Cody Pratt",HR
Analysis of press releases,"Dear Marketing Team, Could you analyze the data related to press releases? Let me know the findings so we can proceed. Best regards, Edward Freeman",Marketing
Resolution for warranty claims issue,"Hi Support, Has the issue with warranty claims been resolved? Please share an update as soon as possible. Thank you, Gina Mitchell",Customer Support
Assistance required with debt management,"Dear Team, I need help with debt management. Please let me know the steps to resolve this issue. Thanks, Billy Franco",Finance
Approval needed for expense reports,"Hello, Could you review and approve the expense reports for this month? Let me know if there’s anything I need to address. Best regards, Taylor Branch",Finance
